,retail_name,retail_state,snap,wic,alcohol,pharmacy,any_tob_sld,str_typ,year,can_surveyD,storelistmatch,c_any_str_typ,c_any_tob_sld,retail_st_geo,str_typ1,Convenience store with or without gas,Drug store or pharmacy ,"Beer, wine, liquor store",Mass merchandiser,Grocery store ,Other store type not listed,Tobacco Hookah ECig
13208,million's cafe,OH,,,,0.0,,Other store type not listed,2016.0,0.0,1,1,,Ohio,Other,0.0029079250316565303,0.0,0.005481839360979534,0.0,0.003964693982536048,0.017219955219310305,0.01265596689507543
13209,mt. lookout tavern,OH,,,,0.0,,Other store type not listed,2016.0,0.0,1,1,,Ohio,Other,0.0006360862385885571,0.0,0.008133396460445622,0.0,0.0013365792724812401,0.01731973554717182,0.0
13210,ravinder kaur gill,OH,,,,0.0,,Convenience store with or without gas,2016.0,0.0,0,1,,Ohio,Convenience,0.007329841829472134,0.0,0.0,0.0,0.0,0.0018031218172441623,0.0
13211,roswells bar,OH,,,,0.0,,Other store type not listed,2016.0,0.0,1,1,,Ohio,Other,0.0021539752429183922,0.0,0.015141084586717023,0.0,0.0,0.02130353463856631,0.010439389134842214
13212,schwarz deli,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,,Ohio,Convenience,0.011998074976674955,0.0,0.0,0.0,0.012596068349578271,0.008605591615236493,0.0
13213,sharonville shell,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,,Ohio,Convenience,0.013260654141351762,0.0,0.003434631555869949,0.0,0.0030789385573934147,0.0,0.0
13214,shell,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,,Ohio,Convenience,0.027391062368043836,0.0,0.010303894667609847,0.0,0.009236815672180244,0.0,0.0
13215,shell ,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,,Ohio,Convenience,0.027391062368043836,0.0,0.010303894667609847,0.0,0.009236815672180244,0.0,0.0
13216,speedway,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,,Ohio,Convenience,0.03732065074158021,0.0,0.0,0.0,0.0,0.0,0.0
13217,speedway ,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,,Ohio,Convenience,0.03732065074158021,0.0,0.0,0.0,0.0,0.0,0.0
